,,,,Freq,uencies,of Kp,Indices,1992,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Kp,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
,,,,,,,,,,,,
,,,,,,,,,,,,
0o,3,.,1,1,.,.,.,.,1,2,.,1
+,10,3,2,7,3,5,6,4,10,6,9,12
,,,,,,,,,,,,
-,11,5,10,21,13,14,24,16,14,7,9,10
1o,12,10,16,14,23,20,38,25,13,18,11,17
+,7,14,11,27,30,33,40,30,16,24,20,20
,,,,,,,,,,,,
-,11,13,17,25,17,23,26,22,18,23,16,16
2o,23,13,27,25,24,18,18,32,14,17,27,31
+,33,20,23,27,25,25,23,26,13,19,26,27
,,,,,,,,,,,,
-,27,21,29,25,26,16,18,17,19,20,22,24
3o,31,19,37,18,21,22,14,16,16,25,33,30
+,26,16,21,20,13,18,14,20,17,25,20,20
,,,,,,,,,,,,
-,28,13,25,15,12,10,12,11,11,16,17,12
4o,9,8,11,6,5,7,5,6,13,14,9,10
+,6,10,7,2,5,5,4,4,12,12,8,3
,,,,,,,,,,,,
-,3,16,8,2,3,8,2,4,9,7,6,4
5o,6,5,2,1,11,4,3,4,11,7,2,3
+,2,8,1,2,2,3,.,4,7,3,1,3
,,,,,,,,,,,,
-,,9,,1,1,2,1,2,9,2,1,4
6o,,4,,1,3,3,,1,3,.,2,.
+,,10,,,2,3,,1,3,1,1,1
,,,,,,,,,,,,
-,,7,,,2,1,,1,7,,,
7o,,5,,,.,,,.,2,,,
+,,1,,,2,,,.,2,,,
,,,,,,,,,,,,
-,,1,,,1,,,1,,,,
8o,,1,,,2,,,1,,,,
1,,,,,,,,,,,,
,,,,,,,,,,,,
-1,,,,,,,,,,,,
9o,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,248,232,248,240,248,240,248,248,240,248,240,248
